Text,Intent
"start payments app",start_app
"please start orders service",start_app
"stop the inventory application",stop_app
"shut down billing service",stop_app
"restart shipping-app",restart_app
"is user-service running?",check_status
"check if billing app is up",check_status
"get environment variables for orders app",get_env_vars
"show env of billing-app",get_env_vars
"stop posting",stop_app
"is posting down?",check_status
"how many instances are running of posting",get_instances
"delete app posting",delete_app
"remove app posting",delete_app
"stop app posting",stop_app
"stop posting app",stop_app
"start the payments app",start_app
"please start orders service",start_app
"launch billing service",start_app
"bring up shipping-app",start_app
"run the inventory application",start_app
"turn on user-service",start_app
"boot up auth app",start_app
"fire up cart-service",start_app
"activate the logging app",start_app
"get the payments app running",start_app
"stop the inventory application",stop_app
"please stop orders service",stop_app
"shut down billing service",stop_app
"bring down shipping-app",stop_app
"terminate the payments app",stop_app
"kill user-service",stop_app
"halt the cart app",stop_app
"power off logging-service",stop_app
"stop running the auth app",stop_app
"disable billing application",stop_app
"restart shipping-app",restart_app
"please restart billing app",restart_app
"reboot payments application",restart_app
"bounce the orders service",restart_app
"cycle the inventory app",restart_app
"reload cart-service",restart_app
"restart the user-service",restart_app
"reset the auth app",restart_app
"bring down and up logging-service",restart_app
"restart the gateway app",restart_app
"is user-service running?",check_status
"check if billing app is up",check_status
"what is the status of orders app?",check_status
"is payments app alive?",check_status
"tell me if cart-service is online",check_status
"verify if inventory app is active",check_status
"is logging-service still running?",check_status
"confirm if shipping-app is working",check_status
"status of the auth service",check_status
"health check for payments app",check_status
"get environment variables for orders app",get_env_vars
"show env of billing-app",get_env_vars
"print environment vars for user-service",get_env_vars
"dump env of inventory application",get_env_vars
"display config of cart-service",get_env_vars
"fetch environment for shipping-app",get_env_vars
"give me env vars of payments app",get_env_vars
"list environment values for auth app",get_env_vars
"return env of logging-service",get_env_vars
"see environment settings of gateway app",get_env_vars
"scale payments app to 3 instances",scale_app
"increase orders service to 5 replicas",scale_app
"resize billing app to 2",scale_app
"expand shipping-app instances to 4",scale_app
"scale inventory service up to 6",scale_app
"grow user-service count to 3",scale_app
"reduce cart-service to 1 instance",scale_app
"shrink logging-service replicas to 2",scale_app
"set auth app to 5 instances",scale_app
"adjust gateway app scale to 4",scale_app
return env of user app,get_env_vars
see environment settings of shipping-service,get_env_vars
start the orders app,start_app
show env of logging-service,get_env_vars
tell me if cart app is online,check_status
grow logging app count to 4,scale_app
boot up the orders service,start_app
is auth-service alive?,check_status
please start logging service,start_app
bring up inventory-service,start_app
reinitialize the inventory app,restart_app
give me env vars of logging app,get_env_vars
reduce gateway-service to 6 instance,scale_app
bring up shipping-service,start_app
boot up the logging service,start_app
health check for user service,check_status
fetch environment for cart-application,get_env_vars
power off gateway-app,stop_app
dump env of orders service,get_env_vars
scale logging service up to 9,scale_app
set gateway app to 6 instances,scale_app
check if gateway service is up,check_status
launch the cart application,start_app
start the user app,start_app
fetch environment for orders-application,get_env_vars
print environment vars for shipping app,get_env_vars
cycle the gateway app,restart_app
increase user service to 2 replicas,scale_app
check if orders service is up,check_status
grow inventory app count to 5,scale_app
tell me if logging app is online,check_status
get shipping service running,start_app
shrink cart replicas to 9,scale_app
print environment vars for orders app,get_env_vars
terminate orders app,stop_app
give me env vars of logging app,get_env_vars
fire up shipping app,start_app
bring up logging-service,start_app
is inventory-service alive?,check_status
run the logging application,start_app
activate billing-app,start_app
reduce shipping-service to 7 instance,scale_app
bring up logging-service,start_app
power off logging-app,stop_app
is inventory app running?,check_status
turn on logging app,start_app
verify if shipping service is active,check_status
stop running user service,stop_app
dump env of auth service,get_env_vars
is billing app running?,check_status
please start user service,start_app
reset the payments application,restart_app
dump env of billing service,get_env_vars
give me env vars of gateway app,get_env_vars
launch the inventory application,start_app
dump env of inventory service,get_env_vars
verify if inventory service is active,check_status
restart the logging app,restart_app
set orders app to 5 instances,scale_app
disable auth app,stop_app
reload auth service,restart_app
health check for payments service,check_status
see environment settings of user-service,get_env_vars
show env of user-service,get_env_vars
is gateway-service alive?,check_status
what is the status of shipping app?,check_status
return env of orders app,get_env_vars
stop running user service,stop_app
is orders-service alive?,check_status
list environment values for user-service,get_env_vars
verify if cart service is active,check_status
please stop cart service,stop_app
terminate gateway app,stop_app
start the payments app,start_app
is gateway-service alive?,check_status
reduce gateway-service to 6 instance,scale_app
expand orders-service instances to 1,scale_app
scale cart app to 6 instances,scale_app
increase shipping service to 5 replicas,scale_app
set cart app to 5 instances,scale_app
health check for inventory service,check_status
grow logging app count to 10,scale_app
restart user-app now,restart_app
what is the status of inventory app?,check_status
bring up shipping-service,start_app
stop the gateway app,stop_app
reset the billing application,restart_app
increase orders service to 8 replicas,scale_app
please start cart service,start_app
bring up auth-service,start_app
scale billing service up to 1,scale_app
status of the auth app,check_status
activate orders-app,start_app
fetch environment for cart-application,get_env_vars
reset the user application,restart_app
increase payments service to 4 replicas,scale_app
restart the inventory app,restart_app
bring up user-service,start_app
stop running inventory service,stop_app
return env of auth app,get_env_vars
turn on orders app,start_app
display config of auth app,get_env_vars
is logging app running?,check_status
list environment values for auth-service,get_env_vars
expand auth-service instances to 9,scale_app
shrink user replicas to 5,scale_app
terminate shipping app,stop_app
bounce logging-service,restart_app
kill the inventory service,stop_app
restart the orders app,restart_app
bring gateway service down and up,restart_app
fire up billing app,start_app
check if billing service is up,check_status
cycle the inventory app,restart_app
is orders-service alive?,check_status
dump env of auth service,get_env_vars
fetch environment for logging-application,get_env_vars
bounce orders-service,restart_app
grow auth app count to 7,scale_app
reduce payments-service to 8 instance,scale_app
confirm if shipping-service is working,check_status
start the shipping app,start_app
shrink user replicas to 10,scale_app
what is the status of user app?,check_status
power off billing-app,stop_app
get environment variables for inventory app,get_env_vars
reinitialize the inventory app,restart_app
kill the billing service,stop_app
stop running cart service,stop_app
shrink gateway replicas to 5,scale_app
increase auth service to 8 replicas,scale_app
display config of billing app,get_env_vars
increase auth service to 8 replicas,scale_app
status of the billing app,check_status
cycle the user app,restart_app
reboot the payments application,restart_app
reduce auth-service to 10 instance,scale_app
grow auth app count to 8,scale_app
bring payments service down and up,restart_app
fire up inventory app,start_app
verify if logging service is active,check_status
reload inventory service,restart_app
check if auth service is up,check_status
run the orders application,start_app
disable payments app,stop_app
stop the auth app,stop_app
reset the user application,restart_app
terminate gateway app,stop_app
stop running shipping service,stop_app
get cart service running,start_app
launch the user application,start_app
list environment values for inventory-service,get_env_vars
boot up the auth service,start_app
confirm if gateway-service is working,check_status
bring cart service down and up,restart_app
activate billing-app,start_app
bring payments service down and up,restart_app
what is the status of gateway app?,check_status
launch the inventory application,start_app
terminate inventory app,stop_app
please start orders service,start_app
get environment variables for logging app,get_env_vars
reinitialize the logging app,restart_app
return env of payments app,get_env_vars
check if orders service is up,check_status
increase billing service to 10 replicas,scale_app
give me env vars of user app,get_env_vars
shrink payments replicas to 3,scale_app
turn on inventory app,start_app
get environment variables for logging app,get_env_vars
show env of inventory-service,get_env_vars
please stop logging service,stop_app
start the billing app,start_app
tell me if auth app is online,check_status
reboot the orders application,restart_app
power off inventory-app,stop_app
boot up the gateway service,start_app
display config of inventory app,get_env_vars
activate orders-app,start_app
is shipping app still running?,check_status
check if payments service is up,check_status
is payments app running?,check_status
start the inventory app,start_app
run the user application,start_app
is logging app still running?,check_status
reload orders service,restart_app
grow logging app count to 8,scale_app
boot up the inventory service,start_app
get environment variables for shipping app,get_env_vars
adjust gateway-service scale to 7,scale_app
adjust cart-service scale to 10,scale_app
start the inventory app,start_app
reinitialize the shipping app,restart_app
health check for gateway service,check_status
stop running inventory service,stop_app
tell me if inventory app is online,check_status
scale payments app to 10 instances,scale_app
reduce gateway-service to 2 instance,scale_app
is payments app still running?,check_status
turn on payments app,start_app
halt logging application,stop_app
reload orders service,restart_app
boot up the shipping service,start_app
terminate inventory app,stop_app
launch the shipping application,start_app
give me env vars of auth app,get_env_vars
stop running inventory service,stop_app
run the billing application,start_app
terminate payments app,stop_app
bring down shipping-service,stop_app
grow logging app count to 8,scale_app
status of the cart app,check_status
activate billing-app,start_app
please start payments service,start_app
health check for user service,check_status
halt payments application,stop_app
power off user-app,stop_app
activate user-app,start_app
fire up gateway app,start_app
reinitialize the cart app,restart_app
reduce gateway-service to 10 instance,scale_app
restart the inventory app,restart_app
verify if auth service is active,check_status
print environment vars for cart app,get_env_vars
terminate auth app,stop_app
please restart payments service,restart_app
tell me if payments app is online,check_status
start the shipping app,start_app
reload cart service,restart_app
reload logging service,restart_app
reinitialize the auth app,restart_app
please start logging service,start_app
fetch environment for gateway-application,get_env_vars
set inventory app to 9 instances,scale_app
give me env vars of payments app,get_env_vars
activate auth-app,start_app
resize logging app to 3,scale_app
boot up the user service,start_app
scale shipping service up to 7,scale_app
show env of shipping-service,get_env_vars
scale inventory app to 9 instances,scale_app
return env of billing app,get_env_vars
reduce user-service to 2 instance,scale_app
terminate auth app,stop_app
disable orders app,stop_app
give me env vars of logging app,get_env_vars
print environment vars for inventory app,get_env_vars
give me env vars of auth app,get_env_vars
fetch environment for orders-application,get_env_vars
cycle the gateway app,restart_app
scale cart service up to 6,scale_app
dump env of cart service,get_env_vars
check if cart service is up,check_status
shrink shipping replicas to 7,scale_app
return env of inventory app,get_env_vars
restart the user app,restart_app
confirm if orders-service is working,check_status
fetch environment for user-application,get_env_vars
halt shipping application,stop_app
activate orders-app,start_app
dump env of auth service,get_env_vars
please stop gateway service,stop_app
please stop payments service,stop_app
scale inventory service up to 7,scale_app
show env of shipping-service,get_env_vars
reset the payments application,restart_app
get billing service running,start_app
what is the status of logging app?,check_status
reset the shipping application,restart_app
bounce orders-service,restart_app
check if logging service is up,check_status
shrink logging replicas to 9,scale_app
bring up orders-service,start_app
power off logging-app,stop_app
get environment variables for billing app,get_env_vars
halt payments application,stop_app
restart gateway-app now,restart_app
give me env vars of user app,get_env_vars
increase cart service to 7 replicas,scale_app
display config of payments app,get_env_vars
list environment values for gateway-service,get_env_vars
is user app still running?,check_status
restart billing-app now,restart_app
status of the cart app,check_status
resize user app to 2,scale_app
confirm if billing-service is working,check_status
bring up user-service,start_app
please start inventory service,start_app
tell me if cart app is online,check_status
list environment values for gateway-service,get_env_vars
tell me if logging app is online,check_status
activate billing-app,start_app
show env of auth-service,get_env_vars
run the user application,start_app
reset the gateway application,restart_app
return env of user app,get_env_vars
bounce auth-service,restart_app
reboot the gateway application,restart_app
bounce billing-service,restart_app
activate orders-app,start_app
dump env of user service,get_env_vars
disable user app,stop_app
run the gateway application,start_app
bring down inventory-service,stop_app
give me env vars of shipping app,get_env_vars
adjust gateway-service scale to 5,scale_app
give me env vars of orders app,get_env_vars
bring billing service down and up,restart_app
please restart gateway service,restart_app
halt gateway application,stop_app
disable auth app,stop_app
fetch environment for auth-application,get_env_vars
bring inventory service down and up,restart_app
reinitialize the shipping app,restart_app
verify if shipping service is active,check_status
see environment settings of user-service,get_env_vars
give me env vars of user app,get_env_vars
confirm if payments-service is working,check_status
scale shipping service up to 9,scale_app
reboot the shipping application,restart_app
get environment variables for logging app,get_env_vars
give me env vars of user app,get_env_vars
please stop payments service,stop_app
halt billing application,stop_app
print environment vars for cart app,get_env_vars
grow cart app count to 1,scale_app
bring down user-service,stop_app
reduce user-service to 10 instance,scale_app
kill the orders service,stop_app
please start payments service,start_app
boot up the shipping service,start_app
shrink billing replicas to 8,scale_app
verify if user service is active,check_status
get orders service running,start_app
see environment settings of cart-service,get_env_vars
is gateway app running?,check_status
what is the status of orders app?,check_status
print environment vars for cart app,get_env_vars
grow payments app count to 9,scale_app
shrink orders replicas to 4,scale_app
bounce orders-service,restart_app
stop running auth service,stop_app
reboot the billing application,restart_app
is shipping app still running?,check_status
stop the user app,stop_app
verify if payments service is active,check_status
dump env of gateway service,get_env_vars
shrink gateway replicas to 4,scale_app
reload auth service,restart_app
is gateway app running?,check_status
print environment vars for gateway app,get_env_vars
activate shipping-app,start_app
start the user app,start_app
is gateway app running?,check_status
return env of billing app,get_env_vars
kill the inventory service,stop_app
return env of billing app,get_env_vars
cycle the payments app,restart_app
show env of user-service,get_env_vars
reset the payments application,restart_app
stop running auth service,stop_app
show env of user-service,get_env_vars
start the user app,start_app
start the auth app,start_app
disable billing app,stop_app
scale gateway app to 2 instances,scale_app
terminate cart app,stop_app
resize shipping app to 3,scale_app
show env of logging-service,get_env_vars
health check for payments service,check_status
run the auth application,start_app
is auth app still running?,check_status
please stop billing service,stop_app
bring gateway service down and up,restart_app
please stop billing service,stop_app
start the orders app,start_app
stop the logging app,stop_app
show env of user-service,get_env_vars
scale shipping app to 4 instances,scale_app
scale payments service up to 3,scale_app
scale shipping app to 4 instances,scale_app
scale billing app to 10 instances,scale_app
is user app still running?,check_status
run the user application,start_app
please stop gateway service,stop_app
please restart gateway service,restart_app
reload auth service,restart_app
shrink cart replicas to 6,scale_app
please stop shipping service,stop_app
what is the status of logging app?,check_status
give me env vars of logging app,get_env_vars
cycle the shipping app,restart_app
